verdict,politician_name,statement,statement_date,statement_source,factcheck_analysis_link
mostly-true,Barack Obama,"""For the first time in history, my administration posts our White House visitors online.""",1/27/2010,speech,https://www.politifact.com/factchecks/2010/jan/28/barack-obama/white-house-visitor-logs-voluntarily-released-pote/
true,Barack Obama,"""Mitt Romney says class sizes dont matter.""",8/22/2012,campaign,https://www.politifact.com/factchecks/2012/aug/23/barack-obama/obama-ad-says-class-sizes-dont-matter-romney/
mostly-false,Barack Obama,"Keystone XL allows ""Canada to pump their oil, send it through our land, down to the Gulf, where it will be sold everywhere else.""",11/14/2014,news,https://www.politifact.com/factchecks/2014/nov/20/barack-obama/obama-says-keystone-xl-exporting-oil-experts-disag/
half-true,Barack Obama,"""Our economy could fall $1 trillion short of its full capacity, which translates into more than $12,000 in lost income for a family of four.""",1/24/2009,radio,https://www.politifact.com/factchecks/2009/jan/26/barack-obama/obama-numbers-income-explanation/
true,Barack Obama,"Says ""our deficits are falling at the fastest rate in 60 years.""",7/24/2013,speech,https://www.politifact.com/factchecks/2013/jul/25/barack-obama/obama-says-deficit-falling-fastest-rate-60-years/
false,Barack Obama,"""Thirty million Americans, including a lot of people in Florida, are going to be able to get healthcare next year because of that law.""",11/1/2011,news,https://www.politifact.com/factchecks/2011/nov/03/barack-obama/obama-says-health-law-will-kick-millions-next-year/
half-true,Barack Obama,"Obama says his bill ""reduced welfare rolls nearly 80 percent.""",6/30/2008,advertisement,https://www.politifact.com/factchecks/2008/jun/30/barack-obama/welfare-rolls-dropped-but-not-just-because-of-law/
false,Barack Obama,"""We import more oil today than ever before.""",7/6/2009,news,https://www.politifact.com/factchecks/2009/jul/08/barack-obama/obamas-wrong-oil-imports/
true,Barack Obama,"""The NRA used to support expanded background checks.""",4/17/2013,speech,https://www.politifact.com/factchecks/2013/apr/18/barack-obama/barack-obama-says-nra-used-support-expanded-backgr/
false,Barack Obama,"""I made a bunch of these promises during the campaign. ... We've got about 60 percent done in three years.""",10/25/2011,speech,https://www.politifact.com/factchecks/2011/nov/01/barack-obama/barack-obama-says-60-percent-his-promises-are-done/
true,Barack Obama,Says Romney wants to add $2 trillion to the defense budget that the military hasnt asked for.,10/3/2012,speech,https://www.politifact.com/factchecks/2012/oct/05/barack-obama/obama-says-romney-would-spend-2-trilllion-military/
mostly-true,Barack Obama,"""I've cut taxes for ... middle-class families, small businesses.""",9/6/2012,speech,https://www.politifact.com/factchecks/2012/sep/07/barack-obama/barack-obama-said-hes-cut-taxes-middle-class-famil/
true,Barack Obama,Says Mitt Romney opposes requiring employers to cover contraception and would eliminate funding for Planned Parenthood.,8/4/2012,campaign,https://www.politifact.com/factchecks/2012/aug/08/barack-obama/obama-slams-romney-on-contraception-and-planned-pa/
false,Barack Obama,"""The only time government employment has gone down during a recession has been under me.""",5/8/2012,speech,https://www.politifact.com/factchecks/2012/may/10/barack-obama/barack-obama-says-government-job-losses-his-watch-/
mostly-true,Barack Obama,"Romney ""would turn Medicare into a voucher program.""",10/3/2012,speech,https://www.politifact.com/factchecks/2012/oct/04/barack-obama/obama-says-romney-wants-turn-medicare-voucher-prog/
mostly-true,Barack Obama,"""Californians consume 40 percent less energy per person than the national average""",6/29/2009,speech,https://www.politifact.com/factchecks/2009/jul/07/barack-obama/obama-says-californians-use-40-percent-less-energy/
half-true,Barack Obama,The accuracy of the Obama tax calculator,10/14/2008,campaign,https://www.politifact.com/factchecks/2008/dec/03/barack-obama/accurate-for-some-not-so-much-for-others/
true,Barack Obama,"""Right now, here in Texas, wind power is already cheaper than dirty fossil fuels.""",3/12/2016,speech,https://www.politifact.com/factchecks/2016/apr/12/barack-obama/barack-obama-says-wind-power-cheaper-texas-power-d/
mostly-true,Barack Obama,"""More people without health care since George Bush took office; more children in poverty since George Bush took office.""",4/18/2008,campaign,https://www.politifact.com/factchecks/2008/may/08/barack-obama/more-uninsured-but-blame-skewed/
half-true,Barack Obama,"""Already, the Affordable Care Act is helping to slow the growth of (Medicares) health care costs.""",2/12/2013,speech,https://www.politifact.com/factchecks/2013/feb/14/barack-obama/obama-says-health-care-law-already-slowing-down-me/
mostly-false,Barbara Buono,"Says in March New Jersey was ""one of only eight states in the nation to lose jobs"" and ""the state with the highest loss of jobs in the nation.""",5/7/2012,news,https://www.politifact.com/factchecks/2012/may/13/barbara-buono/barbara-buono-blasts-chris-christies-new-jersey-co/
false,Ben Carson,"""Ukraine was a nuclear-armed state. They gave away their nuclear arms with the understanding that we would protect them.""",8/6/2015,speech,https://www.politifact.com/factchecks/2015/aug/07/ben-carson/carson-says-usprotection-promises-led-ukraine-give/
mostly-true,Bernie Sanders,"""In 1990, the U.S. led the world in the percentage of 25-34 year olds with college degrees. Today we are in 12th place.""",12/5/2014,social_media,https://www.politifact.com/factchecks/2014/dec/05/bernie-sanders/bernie-sanders-says-us-was-1st-college-degrees-199/
true,Bernie Sanders,"In 2007, ""the top 1 percent of all income earners in the United States made 23.5 percent of all income,"" which is ""more than the entire bottom 50 percent.""",11/30/2010,speech,https://www.politifact.com/factchecks/2010/dec/10/bernie-sanders/bernie-sanders-viral-speech-says-top-1-percent-ear/
mostly-true,Bernie Sanders,"Winning enough pledged delegates is ""not impossible.""",5/1/2016,news,https://www.politifact.com/factchecks/2016/may/02/bernie-sanders/sanders-its-not-impossible-get-enough-delegates-wi/
mostly-true,Bernie Sanders,"""When this campaign began, I said that weve got to end the starvation minimum wage of $7.25, raise it to $15. Secretary Clinton said let's raise it to $12.""",4/15/2016,speech,https://www.politifact.com/factchecks/2016/apr/15/bernie-sanders/does-hillary-clinton-want-15-or-12-minimum-wage/
false,Bernie Sanders,"""(Texas Republicans) believe in abolishing Social Security, abolishing V.A. health care.""",9/25/2013,news,https://www.politifact.com/factchecks/2013/oct/02/bernie-sanders/sen-bernie-sanders-says-texas-republicans-want-abo/
mostly-false,Bernie Sanders,"""Very little of (the defense) budget  less than 10 percent  actually goes into fighting ISIS and international terrorism.""",1/17/2016,speech,https://www.politifact.com/factchecks/2016/jan/18/bernie-sanders/less-10-percent-defense-budget-fighting-terrorism-/
mostly-false,Bernie Sanders,"Out of the total U.S. military budget, ""significantly less than 10 percent of that money is used to fight international terrorism.""",11/14/2015,speech,https://www.politifact.com/factchecks/2015/nov/15/bernie-sanders/sanders-significantly-less-10-defense-dollars-go-f/
mostly-true,Bernie Sanders,"""The top one-tenth of 1 percent now owns almost as much wealth as the bottom 90 percent.""",7/25/2016,speech,https://www.politifact.com/factchecks/2016/jul/26/bernie-sanders/dnc-bernie-sanders-repeats-claim-top-one-tenth-1-o/
mostly-true,Beto O'Rourke,"Texas is ""50th in the nation in mental health care access.""",5/25/2022,speech,https://www.politifact.com/factchecks/2022/may/25/beto-orourke/recent-report-put-texas-last-among-states-and-dc-m/
pants-fire,Bill O'Reilly,"""We researched to find out if anybody on Fox News had ever said you're going to jail if you don't buy health insurance. Nobody's ever said it.""",4/13/2010,news,https://www.politifact.com/factchecks/2010/apr/27/bill-oreilly/oreilly-says-no-one-fox-raised-issue-jail-time-not/
mostly-true,Bill Richardson,"Among Hispanics, support for immigration reform is close to universal.",5/5/2013,news,https://www.politifact.com/factchecks/2013/may/09/bill-richardson/bill-richardson-says-hispanic-support-immigration-/
true,Bill White,Says most of Perry's chiefs of staff have been lobbyists.,8/14/2010,speech,https://www.politifact.com/factchecks/2010/aug/30/bill-white/bill-white-says-most-gov-rick-perrys-chiefs-staff-/
mostly-true,Bruce Rauner,"""Our families have the highest property taxes in the country. We must change this.""",3/15/2017,social_media,https://www.politifact.com/factchecks/2017/apr/20/bruce-rauner/how-true-gov-rauners-property-tax-claim/
mostly-true,Carly Fiorina,"""We doubled the size of the company (Hewlett-Packard).""",5/10/2015,news,https://www.politifact.com/factchecks/2015/may/10/carly-fiorina/carly-fiorina-fights-back-against-hp-layoff-claims/
mostly-false,Charles Schumer,"""The State Department asked all secretaries of state to send their emails over."" Hillary Clinton's""the only one whos done it.""",3/8/2015,television,https://www.politifact.com/factchecks/2015/mar/08/charles-schumer/fact-checking-chuck-schumers-defense-hillary-clint/
true,Charlie Crist,Says Jeb Bush -- not Charlie Crist -- signed legislation that let Duke Energy collect money for nuclear projects.,10/15/2014,speech,https://www.politifact.com/factchecks/2014/oct/16/charlie-crist/crist-says-jeb-bush-signed-law-letting-duke-energy/
true,Charlie Crist,"""In the mid 1990s, in our state, (Florida was) No. 1 in violent crime in America. ... The only concern I had was for the citizens of Florida, who were subjected to a violent crime every three minutes and 45 seconds.""",9/19/2016,speech,https://www.politifact.com/factchecks/2016/sep/20/charlie-crist/charlie-crist-says-florida-was-no-1-violent-crime/
mostly-true,Charlie Crist,"""Our graduation rate is the highest it's ever been.""",3/2/2010,speech,https://www.politifact.com/factchecks/2010/mar/03/charlie-crist/crist-claims-highest-graduation-rate-ever/
half-true,Charlie Crist,"Says Rick Scotts record on jobs includes Florida ""ranked 2nd in the nation in long-term unemployment.""",4/25/2014,campaign,https://www.politifact.com/factchecks/2014/may/06/charlie-crist/charlie-crist-says-florida-no-2-long-term-unemploy/
false,Chris Christie,"""For a young man or woman who is entering the ninth grade in Newark this year, they have a 29 percent graduation rate.""",4/29/2011,speech,https://www.politifact.com/factchecks/2011/jun/15/chris-christie/gov-chris-christie-says-graduation-rate-29-percent/
mostly-true,Chris Christie,"Says state Sen. Paul Sarlo ""said in February on NJTV, there will be no tax increases in this budget"" and ""voted the other night in the Senate Budget Committee to raise income taxes $800 million.""",6/26/2012,social_media,https://www.politifact.com/factchecks/2012/jul/08/chris-christie/chris-christie-claims-state-senator-promised-no-ta/
half-true,Chris Christie,"Says private-sector job growth in 2011 ""places New Jersey in the top third among all of the states.""",2/21/2012,speech,https://www.politifact.com/factchecks/2012/feb/27/chris-christie/chris-christie-claims-private-sector-job-growth-20/
true,Chris Christie,"Says the New York Giants ""train in New Jersey, they play in New Jersey and most of their players live in New Jersey.""",1/22/2012,news,https://www.politifact.com/factchecks/2012/jan/29/chris-christie/chris-christie-says-new-york-giants-are-new-jersey/
mostly-false,Chris Larson,"The Republican-controlled Wisconsin Senate approved a bill ""denying veterans the right to recover their medical costs for cancers they developed while serving their country.""",3/12/2014,email,https://www.politifact.com/factchecks/2014/mar/20/chris-larson/wisconsin-democratic-leader-chris-larson-says-gop-/
false,Claire McCaskill,"""Nobody applies to the United States for refugee status. They apply to the United Nations.""",1/31/2017,testimony,https://www.politifact.com/factchecks/2017/apr/24/claire-mccaskill/mccaskill-doesnt-account-all-refugee-cases/
half-true,Connie Mack,"The Mack Penny Plan for the federal budget ""would balance our budget by 2019"" and ""continues to gain support.""",5/9/2012,campaign,https://www.politifact.com/factchecks/2012/jul/05/connie-mack/connie-mack-says-cutting-one-penny-out-every-/
false,Cory Booker,"""Farmer suicide rates are as high as they have been since the Great Depression.""",3/18/2019,news,https://www.politifact.com/factchecks/2019/mar/21/cory-booker/farmer-suicides-high-great-depression-no-data-says/
false,Crossroads GPS,"""Millions could lose their health care coverage and be forced into a government pool"" under the new health care law.",5/16/2012,advertisement,https://www.politifact.com/factchecks/2012/may/21/crossroads-gps/crossroads-says-obama-broke-his-promise-health-car/
mostly-false,Dan Patrick,"Leticia Van de Putte ""voted to stop schools from removing teachers convicted of a felony.""",10/22/2014,advertisement,https://www.politifact.com/factchecks/2014/oct/29/dan-patrick/dan-patrick-says-leticia-van-de-putte-voted-stop-s/
pants-fire,Dan Patrick,"""As chair of the Senate Education Committee, I led the charge to restore most of the education cuts from last session.""",8/28/2014,news,https://www.politifact.com/factchecks/2014/sep/15/dan-patrick/dan-patrick-voted-against-final-version-state-budg/
half-true,David Axelrod,"When Mitt Romney was governor, Massachusetts ranked 47th out of 50 states in job creation.",6/19/2011,news,https://www.politifact.com/factchecks/2011/jun/22/david-axelrod/dems-say-when-mitt-romney-was-governor-massachuset/
half-true,David Dewhurst,"""Youve got almost twice as many cops in New York City as you do on our entire border. Thats nuts.""",5/12/2010,news,https://www.politifact.com/factchecks/2010/may/21/david-dewhurst/dewhurst-says-nypd-force-almost-twice-size-border-/
mostly-true,David Dewhurst,"Says Dan Patrick ""supported giving a $5,000 taxpayer-funded voucher to every family to buy a car.""",3/2/2014,advertisement,https://www.politifact.com/factchecks/2014/mar/14/david-dewhurst/dan-patrick-suggested-every-family-get-5000-vouche/
half-true,David Perdue,"U.S. Senate candidate Jack Kingston voted for the ""Cash for Clunkers"" program.",5/17/2014,advertisement,https://www.politifact.com/factchecks/2014/jul/14/david-perdue/perdue-omits-detail-cash-clunkers-claim/
half-true,Donald Trump,"""Our companies are moving into Mexico more than almost any other place right now.""",8/19/2015,news,https://www.politifact.com/factchecks/2015/aug/27/donald-trump/trump-says-us-companies-moving-mexico-more-almost-/
false,Donald Trump,"Says the Steele dossier ""was responsible for starting"" Special Counsel Robert Muellers investigation into links between the Trump campaign and Russia.",7/23/2018,social_media,https://www.politifact.com/factchecks/2018/jul/23/donald-trump/donald-trump-falsely-says-new-carter-page-document/
mostly-true,Donald Trump,"Says Hillary Clinton ""promised, running for the Senate years ago, 200,000 jobs for upstate New York. ... Not only didn't they come, but they lost so many jobs.""",9/27/2016,campaign,https://www.politifact.com/factchecks/2016/oct/07/donald-trump/trump-clinton-promised-add-200k-jobs-upstate-new-y/
true,Donald Trump,"""Household income among Hispanic Americans has just set a new record high.""",9/29/2018,speech,https://www.politifact.com/factchecks/2018/nov/01/donald-trump/hispanic-household-income-record-high-donald-trump/
pants-fire,Donald Trump,"""The first so-called second hand information Whistleblower got my phone conversation almost completely wrong.""",10/5/2019,social_media,https://www.politifact.com/factchecks/2019/oct/09/donald-trump/donald-trump-whistleblower-got-phone-call-almost-c/
half-true,Donald Trump,"""Long gas lines forming in North Korea.""",9/17/2017,social_media,https://www.politifact.com/factchecks/2017/sep/19/donald-trump/are-gas-lines-forming-north-korea/
half-true,Donald Trump,"""One in three women is sexually assaulted on the dangerous journey north.""",1/19/2019,speech,https://www.politifact.com/factchecks/2019/jan/25/donald-trump/trump-said-1-3-migrant-women-sexually-assaulted-jo/
half-true,Donald Trump,"The Secure Communities Program and 287(g) immigration programs ""were programs that worked"" but were ""recklessly gutted"" by the Obama administration.",8/31/2016,speech,https://www.politifact.com/factchecks/2016/sep/06/donald-trump/trump-says-secure-communities-287g-immigration-pro/
pants-fire,Donald Trump,"""In New York state, if youre white, you have to go to the back of the line to get medical help.""",1/15/2022,speech,https://www.politifact.com/factchecks/2022/jan/27/donald-trump/no-new-york-has-not-delayed-covid-19-treatment-whi/
mostly-false,Donald Trump,"The Obama administration gave Iran ""$400 million in ransom payment cash.""",8/21/2016,speech,https://www.politifact.com/factchecks/2016/aug/24/donald-trump/donald-trump-calls-400-million-payment-iran-ransom/
false,Donald Trump,"Says ""Bob Casey voted in favor of deadly sanctuary cities that released thousands upon thousands of illegal alien criminals and vicious gang members to prey on Pennsylvaniastreets, to prey all over this country.""",10/10/2018,speech,https://www.politifact.com/factchecks/2018/oct/31/donald-trump/donald-trumps-wild-number-sanctuary-city-criminal-/
false,Donald Trump,"The stories from women saying he groped or forced himself on them ""largely have been debunked.""",10/19/2016,speech,https://www.politifact.com/factchecks/2016/oct/20/donald-trump/donald-trump-says-reports-sexual-assault-him-have-/
false,Donald Trump,"""They never thought ... that I was going to release that call and I really had no choice because Adam Schiff made up a call.""",11/15/2019,news,https://www.politifact.com/factchecks/2019/nov/19/donald-trump/donald-trump-schiff-ukraine-timeline-phone-memo/
false,Donald Trump,"""If you're from Syria and you're a Christian, you cannot come into this country"" as a refugee.",7/11/2015,speech,https://www.politifact.com/factchecks/2015/jul/20/donald-trump/donald-trump-says-if-youre-syria-and-christianyou-/
false,Donald Trump,"Says Joe Biden ""is even talking about taking the wall down.""",8/27/2020,speech,https://www.politifact.com/factchecks/2020/aug/28/donald-trump/donald-trumps-false-rnc-claim-about-joe-biden-and-/
false,Donald Trump,"Says ""the New York Times wrote about"" Barack Obama wiretapping Donald Trump during the election.",3/15/2017,news,https://www.politifact.com/factchecks/2017/mar/16/donald-trump/donald-trump-says-he-learned-obama-tapped-his-phon/
pants-fire,Donald Trump,"Says as president he has ""total"" authority to re-open states amid the COVID-19 pandemic.",4/13/2020,other,https://www.politifact.com/factchecks/2020/apr/14/donald-trump/trumps-ridiculous-statement-about-total-authority-/
mostly-true,Donald Trump,"The Jerusalem Embassy Act ""passed Congress by an overwhelming bipartisan majority and was reaffirmed by a unanimous vote of the Senate only six months ago.""",12/6/2017,speech,https://www.politifact.com/factchecks/2017/dec/06/donald-trump/donald-trump-correct-about-history-jerusalem-embas/
false,Donald Trump,"""In seven years that (nuclear) deal will have expired, and Iran is free to go ahead and create nuclear weapons.""",4/30/2018,news,https://www.politifact.com/factchecks/2018/may/02/donald-trump/donald-trump-said-wrongly-iran-nuclear-deal-expire/
mostly-false,Donald Trump,"Says Georgias 5th congressional district, represented by John Lewis, is ""in horrible shape and falling apart (not to mention crime infested).""",1/14/2017,social_media,https://www.politifact.com/factchecks/2017/jan/15/donald-trump/trumps-john-lewis-crime-invested-atlanta/
false,Donald Trump,"""Wow, highest Poll Numbers in the history of the Republican Party. That includes Honest Abe Lincoln and Ronald Reagan.""",7/29/2018,social_media,https://www.politifact.com/factchecks/2018/jul/30/donald-trump/has-donald-trump-had-highest-poll-numbers-any-gop-/
false,Donald Trump,"""Our doctors get more money if somebody dies from COVID.  So what they do is they say, I'm sorry, but, you know, everybody dies of COVID.""",10/30/2020,campaign,https://www.politifact.com/factchecks/2020/nov/01/donald-trump/donald-trumps-false-claim-doctors-inflate-covid-19/
mostly-false,Donald Trump,"""Theres a tremendous tax that we pay when we (American businesses) go into China, whereas when China sells to us theres no tax.""",3/26/2016,news,https://www.politifact.com/factchecks/2016/mar/30/donald-trump/trump-miscasts-impact-trade-chinese-taxes/
half-true,Donald Trump,"""Chrysler is leaving Mexico and moving back to Michigan.""",1/16/2018,speech,https://www.politifact.com/factchecks/2018/jan/18/donald-trump/trump-said-chrysler-leaving-mexico-it-isnt/
false,Donald Trump,"""When asked about court-packing, Biden's staff immediately escorts the camera out.""",10/26/2020,social_media,https://www.politifact.com/factchecks/2020/oct/29/donald-trump/trump-campaign-uses-cherry-picked-video-attack-bid/
half-true,Donald Trump,"Says Hillary Clinton once ""wanted a wall"" on the Mexican border.",8/5/2016,campaign,https://www.politifact.com/factchecks/2016/aug/15/donald-trump/donald-trump-right-hillary-clinton-once-wanted-wal/
pants-fire,Donald Trump,"""We already have won"" the election.",11/4/2020,speech,https://www.politifact.com/factchecks/2020/nov/04/donald-trump/trump-falsely-and-prematurely-claims-2020-presiden/
mostly-false,Donald Trump,"Goodyear Tires ""announced a BAN ON MAGA HATSThis is what the Radical Left Democrats do.""",8/19/2020,social_media,https://www.politifact.com/factchecks/2020/aug/19/donald-trump/calling-goodyear-dress-code-ban-maga-hats-mischara/
false,Donald Trump,"Says John Podesta ""refused to give the DNC server to the FBI and the CIA. Disgraceful!""",7/7/2017,social_media,https://www.politifact.com/factchecks/2017/jul/11/donald-trump/did-john-podesta-deny-cia-and-fbi-access-dnc-serve/
false,Donald Trump,"Says his job approval poll numbers are ""not bad"" relative to other presidents at this point in his presidency.",7/16/2017,social_media,https://www.politifact.com/factchecks/2017/jul/17/donald-trump/trumps-false-claim-his-presidential-approval-ratin/
pants-fire,Donald Trump,"""Our African-American communities are absolutely in the worst shape they've ever been in before. Ever. Ever. Ever.""",9/20/2016,speech,https://www.politifact.com/factchecks/2016/sep/22/donald-trump/trumps-pants-fire-claim-blacks-are-absolutely-wors/
pants-fire,Donald Trump,"""Hillary Clinton says she wants to, raise taxes on the middle class. """,8/4/2016,campaign,https://www.politifact.com/factchecks/2016/aug/05/donald-trump/donald-trump-wrongly-says-hillary-clinton-wants-ra/
false,Donald Trump,"""The murder rate in our country is the highest its been in 47 years.""",2/7/2017,meeting,https://www.politifact.com/factchecks/2017/feb/08/donald-trump/donald-trump-wrong-murder-rate-highest-47-years/
false,Donald Trump,"""There is no reason for these massive, deadly and costly forest fires in California except that forest management is so poor.""",11/10/2018,social_media,https://www.politifact.com/factchecks/2018/nov/12/donald-trump/trumps-overly-simplistic-and-false-claim-californi/
mostly-false,Donald Trump,"""The U.S. recorded its slowest economic growth in five years (2016). GDP up only 1.6%. Trade deficits hurt the economy very badly.""",4/26/2017,social_media,https://www.politifact.com/factchecks/2017/apr/27/donald-trump/did-trade-deficit-cause-slow-growth-2016-donald-tr/
half-true,Donald Trump,"Says President Dwight Eisenhower ""moved 1.5 million illegal immigrants out of this country.""",11/10/2015,speech,https://www.politifact.com/factchecks/2015/nov/11/donald-trump/trump-eisenhower-deported-15-million-immigrants/
false,Donald Trump,"Says Joe Biden ""said he never spoke to the Ukrainian company, and then the picture came out where he was playing golf with the company boss and Hunter"" Biden.",10/6/2019,social_media,https://www.politifact.com/factchecks/2019/oct/08/donald-trump/trump-claims-photo-shows-bidens-playing-golf-ukrai/
mostly-false,Donald Trump,"""122 vicious prisoners, released by the Obama Administration from Gitmo, have returned to the battlefield.""",3/7/2017,social_media,https://www.politifact.com/factchecks/2017/mar/07/donald-trump/donald-trump-wrongly-blames-barack-obama-former-gu/
true,Donald Trump,"""Senator Cryin Chuck Schumer fought hard against the Bad Iran Deal, even going at it with President Obama, & then Voted AGAINST it! Now he says I should not have terminated the deal""",5/10/2018,social_media,https://www.politifact.com/factchecks/2018/may/24/donald-trump/schumer-once-opposed-iran-nuclear-deal-he-now-supp/
half-true,Donald Trump,"Says Deborah Birx ""traveled a great distance to see her family for Thanksgiving, only to have them call the police and turn her in. She then ... resigned.""",3/29/2021,statement,https://www.politifact.com/factchecks/2021/mar/30/donald-trump/donald-trump-embellishes-details-dr-deborah-birxs-/
mostly-false,Donald Trump,"Says Hillary Clinton ""gave up 20 percent of America's uranium supply to Russia.""",9/28/2016,speech,https://www.politifact.com/factchecks/2016/sep/30/donald-trump/nuclear-claim-donald-trump-says-hillary-clinton-ga/
mostly-false,Donald Trump,"""We hadnt had a (car) plant built in years  in decades, actually. And now we have many plants being built all throughout the United States.""",6/30/2019,speech,https://www.politifact.com/factchecks/2019/jul/09/donald-trump/donald-trump-touts-new-car-plants-america-overlook/
mostly-false,Eric Cantor,"Because of the health care act, ""The people who have health care and like it in this county are not going to be able to keep what they have.""",6/28/2012,news,https://www.politifact.com/factchecks/2012/jul/16/eric-cantor/cantor-says-under-health-care-law-people-who-their/
true,George LeMieux,"In 2008, Charlie Crist ""applauded the pick of Sarah Palin and said she would do a great job.""",8/28/2012,news,https://www.politifact.com/factchecks/2012/sep/04/george-lemieux/george-lemieux-charlie-crist-sarah-palin-said-grea/
mostly-false,George Will,"""Social Security was advocated  in the 1930s as a way of getting people to quit working, because they thought we were confined to a permanent scarcity of jobs in this country.""",2/9/2014,news,https://www.politifact.com/factchecks/2014/feb/11/george-will/george-will-says-social-security-was-created-1930s/
false,Glenn Beck,"Forty-five percent of doctors ""say they'll quit"" if health care reform passes.",10/12/2009,statement,https://www.politifact.com/factchecks/2009/oct/15/glenn-beck/beck-says-45-percent-physicians-would-quit-if-heal/
mostly-true,Gwen Moore,"Says Dontre Hamilton ""was shot 14 times by police for resting on a park bench in Milwaukee.""",6/29/2017,speech,https://www.politifact.com/factchecks/2017/aug/01/gwen-moore/case-dontre-hamilton-did-milwaukee-police-shoot-ma/
false,Harry Reid,"""We have solved the problem. ... Scientists are now saying leave the nuclear waste where it is.""",2/19/2010,news,https://www.politifact.com/factchecks/2010/feb/23/harry-reid/reid-calls-nuclear-waste-issue-solved/
pants-fire,Hillary Clinton,"Between 27,000 and 200,000 Wisconsinites were ""turned away"" from the polls in 2016 due to lack of proper identification.",9/17/2019,speech,https://www.politifact.com/factchecks/2019/sep/19/hillary-clinton/hillary-clinton-wrong-again-wisconsin-voter-id/
pants-fire,Hillary Clinton,"In Wisconsin, because a key provision of the Voting Rights Act was not in effect, ""somewhere between 40,000 and 80,000 people were turned away from the polls (in 2016) because of the color of their skin"" and other factors.",3/3/2019,speech,https://www.politifact.com/factchecks/2019/mar/06/hillary-clinton/clinton-hot-seat-claim-thousands-were-turned-away-/
mostly-false,Hillary Clinton,"""Not a single Republican candidate, announced or potential, is clearly and consistently supporting a path to citizenship. Not one.""",5/5/2015,other,https://www.politifact.com/factchecks/2015/may/07/hillary-clinton/hillary-clinton-says-not-one-gop-presidential-cont/
mostly-true,Hillary Clinton,"""By the time I left"" the State Department, ""economic growth was up and opium production was down"" in Afghanistan, while ""infant mortality declined"" and school enrollment rose by more than sevenfold.",6/10/2014,other,https://www.politifact.com/factchecks/2014/jun/10/hillary-clinton/new-book-hillary-clinton-touts-quality-life-advanc/
half-true,Hillary Clinton,"Her health care plan will cost $110-billion in the first year, which can be paid for with savings.",9/17/2007,speech,https://www.politifact.com/factchecks/2007/sep/18/hillary-clinton/optimistic-math/
half-true,Hillary Clinton,"Says New START, passed while Clinton was secretary of state, is a ""treaty cutting Russias nuclear arms.""",9/9/2016,advertisement,https://www.politifact.com/factchecks/2016/sep/21/hillary-clinton/hillary-clinton-overstates-impact-new-start-russia/
mostly-true,Hillary Clinton,"""Arizona schools rank 45th in the nation, dead last in funding per student.""",3/15/2016,advertisement,https://www.politifact.com/factchecks/2016/mar/17/hillary-clinton/clinton-ad-claims-arizona-lags-k-12-education/
