verdict,politician_name,statement,statement_date,statement_source,factcheck_analysis_link,mistral_verdict,mistral_reason,party,topic,average_views
mostly-true,Barack Obama,"""For the first time in history, my administration posts our White House visitors online.""",1/27/2010,speech,https://www.politifact.com/factchecks/2010/jan/28/barack-obama/white-house-visitor-logs-voluntarily-released-pote/,half true,".

Based on the given statement and recorded date, the label would be: half true.

Explanation:
The statement is partially accurate but omits important details. While it is true that the Obama administration did begin posting White House visitor logs online, it is important to note that this was not the first time in history that such records had been made available to the public. Previous administrations had released some visitor logs, but not in a comprehensive or easily accessible way. The Obama administration's decision to post the logs online was a significant step towards greater transparency, but it was not the first time in history that such records had been made available to some extent.",D,transparency,>100000
TRUE,Barack Obama,"""Mitt Romney says class sizes dont matter.""",8/22/2012,campaign,https://www.politifact.com/factchecks/2012/aug/23/barack-obama/obama-ad-says-class-sizes-dont-matter-romney/,half true,".

Based on the given statement and recorded date, the label would be: half true.

Explanation:
Mitt Romney did make a comment during the 2012 presidential campaign that class size does not matter as long as good teachers are present. However, this statement should be understood in context. Romney was responding to a question about education funding and was emphasizing the importance of effective teachers over class size. The statement does not mean that Romney believes class size is unimportant in all circumstances. Therefore, the statement is partially accurate but omits important details about the context in which it was made.",D,economy,>100000
mostly-false,Barack Obama,"Keystone XL allows ""Canada to pump their oil, send it through our land, down to the Gulf, where it will be sold everywhere else.""",11/14/2014,news,https://www.politifact.com/factchecks/2014/nov/20/barack-obama/obama-says-keystone-xl-exporting-oil-experts-disag/,mostly true,".

Regarding the statement ""Keystone XL allows ""Canada to pump their oil, send it through our land, down to the Gulf, where it will be sold everywhere else,""""

Label: mostly true

The Keystone XL pipeline does indeed allow Canada to transport oil from Alberta, Canada, to the Gulf Coast in the United States. From there, the oil can be exported to other countries. However, it's important to note that the pipeline also serves the domestic market in the United States, and a significant portion of the oil transported through it is intended for sale within the country.",D,economy,>100000
half-true,Barack Obama,"""Our economy could fall $1 trillion short of its full capacity, which translates into more than $12,000 in lost income for a family of four.""",1/24/2009,radio,https://www.politifact.com/factchecks/2009/jan/26/barack-obama/obama-numbers-income-explanation/,mostly true,".

Based on the given statement and recorded date, I would label it as ""mostly true"" with the following explanation:

The statement that ""Our economy could fall $1 trillion short of its full capacity, which translates into more than $12,000 in lost income for a family of four"" is mostly true, but it requires some clarification. The statement is based on an estimate made by the National Academy of Sciences in 2008, which found that the U.S. economy could lose up to $1 trillion in output due to the housing market crisis and the financial crisis that followed. This estimate was widely reported in the media at the time, including on January 24, 2009, when the statement was made.

The statement also correctly calculates that a loss of $1 trillion in output translates to approximately $12,000 in lost income for a family of four, based on an average household income of around $50,000 at the time.

However, it's important to note that this estimate was based on projections and assumptions about the severity and duration of the economic downturn, which may have turned out to be overly pessimistic or overly optimistic in hindsight. Additionally, the statement does not provide any context about the potential causes or solutions to the economic crisis, which could be important for understanding the full picture.

Therefore, while the statement is mostly true in terms of the facts presented, it could benefit from some additional context and clarification to help readers fully understand the implications of the economic data being cited.",D,economy,>100000
TRUE,Barack Obama,"Says ""our deficits are falling at the fastest rate in 60 years.""",7/24/2013,speech,https://www.politifact.com/factchecks/2013/jul/25/barack-obama/obama-says-deficit-falling-fastest-rate-60-years/,mostly true,".

Regarding the statement ""Says 'our deficits are falling at the fastest rate in 60 years.'""

Label: mostly true

The statement is mostly true, but it requires some clarification. According to data from the Congressional Budget Office (CBO), the federal budget deficit did fall at the fastest rate in 60 years between fiscal years 2009 and 2010. However, it's important to note that the deficit began to rise again in subsequent years due to various factors, including the expiration of some tax provisions and increased spending on programs such as Social Security and Medicare. Therefore, while the statement is accurate in the narrow sense that the deficit did fall at a historic rate during that time period, it may be misleading if taken out of context to suggest that the trend has continued unabated since then.",D,economy,>100000
FALSE,Barack Obama,"""Thirty million Americans, including a lot of people in Florida, are going to be able to get healthcare next year because of that law.""",11/01/2011,news,https://www.politifact.com/factchecks/2011/nov/03/barack-obama/obama-says-health-law-will-kick-millions-next-year/,mostly true,".

Regarding the statement made on 11/1/2011, ""Thirty million Americans, including a lot of people in Florida, are going to be able to get healthcare next year because of that law,"" the statement is mostly true.

The Affordable Care Act, also known as Obamacare, was enacted in March 2010. According to the Congressional Budget Office (CBO), the law was projected to reduce the number of uninsured Americans by about 32 million by 2019. However, it's important to note that not all of these people would gain coverage in the first year, and the number of uninsured would continue to decrease over the following years as the law was fully implemented.

The statement also mentions ""a lot of people in Florida."" According to the CBO report, Florida was projected to have the third-highest reduction in the number of uninsured residents, behind Texas and California.

Therefore, the statement that ""Thirty million Americans, including a lot of people in Florida, are going to be able to get healthcare next year because of that law"" is mostly true, but it's important to clarify that not all of these people would gain coverage in the first year, and the number of uninsured would continue to decrease over the following years as the law was fully implemented.",D,health,>100000
half-true,Barack Obama,"Obama says his bill ""reduced welfare rolls nearly 80 percent.""",6/30/2008,advertisement,https://www.politifact.com/factchecks/2008/jun/30/barack-obama/welfare-rolls-dropped-but-not-just-because-of-law/,FALSE,".

Based on the given statement and recorded date, the label would be: false.

There is no credible evidence that Obama's bill reduced welfare rolls nearly 80 percent. In fact, the statement is a significant exaggeration. According to the Congressional Budget Office, the American Recovery and Reinvestment Act of 2009, which included provisions related to welfare, was projected to reduce the number of people receiving Temporary Assistance for Needy Families (TANF) by about 100,000 in 2013, and increase the number of people receiving Supplemental Nutrition Assistance Program (SNAP) benefits by about 14 million between 2009 and 2012. These projections do not come close to the 80 percent reduction claimed in the statement.",D,economy,>100000
FALSE,Barack Obama,"""We import more oil today than ever before.""",7/06/2009,news,https://www.politifact.com/factchecks/2009/jul/08/barack-obama/obamas-wrong-oil-imports/,half true,".

Based on the given statement and recorded date, the label would be:

half true

The statement is partially accurate but omits important details. In 2009, the United States was indeed importing a large amount of oil, but it was not a record high. According to the U.S. Energy Information Administration, U.S. crude oil imports peaked in 2005 at 12.6 million barrels per day and had been declining since then due to increased domestic production and economic recession. However, the statement does not provide any context or qualification, which could lead to a misunderstanding or misinterpretation. Therefore, the statement is only partially accurate and needs clarification or additional information.",D,economy,>100000
TRUE,Barack Obama,"""The NRA used to support expanded background checks.""",4/17/2013,speech,https://www.politifact.com/factchecks/2013/apr/18/barack-obama/barack-obama-says-nra-used-support-expanded-backgr/,mostly true,".

Regarding the statement ""The NRA used to support expanded background checks,"" this statement is mostly true with some clarification needed.

The National Rifle Association (NRA) has historically taken a stance against mandatory universal background checks, but there have been instances where the organization supported certain types of expanded background checks in the past. For example, in the late 1990s, the NRA supported the Brady Handgun Violence Prevention Act, which established a national background check system for firearms purchases from licensed dealers. However, the act did not require background checks for private sales or transfers, which is a significant limitation that the NRA has since opposed.

Therefore, while it is true that the NRA has supported some forms of expanded background checks in the past, it is important to note that their current stance is against mandatory universal background checks for all firearms sales and transfers.",D,transparency,>100000
FALSE,Barack Obama,"""I made a bunch of these promises during the campaign. ... We've got about 60 percent done in three years.""",10/25/2011,speech,https://www.politifact.com/factchecks/2011/nov/01/barack-obama/barack-obama-says-60-percent-his-promises-are-done/,mostly true,".

Based on the given statement and the recorded date, I would label it as ""mostly true"" with the following explanation:

The statement is accurate in that the speaker acknowledges making campaign promises and admits that about 60 percent of them have been accomplished in three years. However, the statement could benefit from additional context or clarification. For instance, it would be helpful to know which specific promises the speaker is referring to and which ones have been completed. Additionally, it's important to note that the completion of campaign promises can be subjective and open to interpretation. Therefore, while the statement is mostly true, it could benefit from more details to provide a clearer and more complete picture.",D,transparency,>100000
TRUE,Barack Obama,Says Romney wants to add $2 trillion to the defense budget that the military hasnt asked for.,10/03/2012,speech,https://www.politifact.com/factchecks/2012/oct/05/barack-obama/obama-says-romney-would-spend-2-trilllion-military/,mostly false,".

Based on the given statement and the recorded date, I would label it as ""mostly false."" While it is true that Mitt Romney had proposed increasing defense spending during his 2012 presidential campaign, the military had indeed asked for some of that funding. The statement ignores this important context and creates a misleading impression.

According to a report by the Congressional Research Service, the Department of Defense had requested $525 billion for base defense spending in fiscal year 2013, and an additional $88.5 billion for overseas contingency operations. Romney's campaign had proposed increasing defense spending to $533 billion for base defense and $117 billion for overseas contingency operations in fiscal year 2013.

Therefore, while Romney did propose adding funding to the defense budget beyond what the military had asked for at the time, it was not a $2 trillion increase as stated in the original claim. The statement is mostly false because it ignores the important context that some of the proposed funding was indeed requested by the military.",D,war,>100000
mostly-true,Barack Obama,"""I've cut taxes for ... middle-class families, small businesses.""",9/06/2012,speech,https://www.politifact.com/factchecks/2012/sep/07/barack-obama/barack-obama-said-hes-cut-taxes-middle-class-famil/,mostly true,".

Based on the given statement and the recorded date, I would label it as ""mostly true"" with the following explanation:

The statement made by the speaker on 9/6/2012 that ""I've cut taxes for ... middle-class families, small businesses"" is mostly true, but it requires some clarification. The speaker likely meant that they had supported or enacted tax cuts during their time in office that benefited middle-class families and small businesses. However, it's important to note that the specific tax cuts they are referring to and the extent of their impact on these groups would need to be examined in more detail to provide a complete picture. Additionally, it's possible that other tax policies or initiatives may have offset any tax cuts for these groups, so a more nuanced analysis would be necessary to fully assess the accuracy of the statement.",D,economy,>100000
TRUE,Barack Obama,Says Mitt Romney opposes requiring employers to cover contraception and would eliminate funding for Planned Parenthood.,8/04/2012,campaign,https://www.politifact.com/factchecks/2012/aug/08/barack-obama/obama-slams-romney-on-contraception-and-planned-pa/,mostly true,".

Based on the given statement and recorded date, the label would be: mostly true.

Mitt Romney did oppose the Affordable Care Act's mandate for employers to cover contraception and had expressed support for eliminating funding for Planned Parenthood during his 2012 presidential campaign. However, it's important to note that his stance on these issues could change over time or in different contexts.",D,health,>100000
FALSE,Barack Obama,"""The only time government employment has gone down during a recession has been under me.""",5/08/2012,speech,https://www.politifact.com/factchecks/2012/may/10/barack-obama/barack-obama-says-government-job-losses-his-watch-/,mostly false,".

Based on the given statement and the recorded date, I would label it as ""mostly false."" While it is true that government employment has not decreased during every recession under President Obama, it is not the only time this has occurred. For instance, during the 1990-1991 recession, government employment actually increased. Therefore, the statement is missing important context and is not entirely accurate.",D,economy,>100000
mostly-true,Barack Obama,"Romney ""would turn Medicare into a voucher program.""",10/03/2012,speech,https://www.politifact.com/factchecks/2012/oct/04/barack-obama/obama-says-romney-wants-turn-medicare-voucher-prog/,mostly true,".

Based on the given statement and the recorded date, the label is: mostly true.

Explanation:
The statement that ""Romney would turn Medicare into a voucher program"" is mostly true. During his campaign for the presidency in 2012, Mitt Romney proposed a plan to reform Medicare by providing seniors with a fixed amount of money, called a premium support or voucher, to purchase health insurance coverage. This plan would have allowed private insurance companies to compete with Medicare for seniors' business, potentially leading to cost savings and increased competition. However, critics argued that the voucher amount would not keep pace with the cost of health care, leaving seniors with higher out-of-pocket costs. The statement accurately reflects Romney's proposed plan, but it is important to note that the specifics of the plan and its potential impact on seniors are subjects of ongoing debate.",D,health,>100000
mostly-true,Barack Obama,"""Californians consume 40 percent less energy per person than the national average""",6/29/2009,speech,https://www.politifact.com/factchecks/2009/jul/07/barack-obama/obama-says-californians-use-40-percent-less-energy/,mostly false,".

Based on the given statement and the recorded date, the label would be: mostly false.

According to the U.S. Energy Information Administration (EIA), in 2009, Californians consumed 28.3% less energy per person than the U.S. average. This is lower than the stated 40%, but it is still a significant reduction. However, it is important to note that this figure may have changed in the years since 2009 due to various factors such as population growth, energy efficiency improvements, and changes in energy sources. Therefore, the statement needs some clarification or additional information to be considered mostly true.

Sources:
- U.S. Energy Information Administration: ""State Energy Data System 2010"" (Table 1.3.B)
- U.S. Energy Information Administration: ""California"" (Energy Profile)
- U.S. Energy Information Administration: ""U.S. Energy Consumption by State"" (Interactive Map)",D,environment,>100000
half-true,Barack Obama,The accuracy of the Obama tax calculator,10/14/2008,campaign,https://www.politifact.com/factchecks/2008/dec/03/barack-obama/accurate-for-some-not-so-much-for-others/,mostly true,".

Regarding the statement ""The accuracy of the Obama tax calculator,"" it is mostly true. The Obama tax calculator was a tool provided by the Obama campaign during the 2008 presidential election to help people estimate their tax savings under an Obama presidency. The calculator was based on the tax proposals outlined in Obama's campaign platform. However, it's important to note that tax calculators can only provide estimates and do not account for individual circumstances and complexities of the tax code. Therefore, the calculator should be used as a rough guide rather than a definitive answer. Additionally, it's worth mentioning that tax proposals can change during the legislative process and may not be enacted exactly as proposed. So, while the calculator was generally accurate based on the campaign's tax proposals at the time, it's important to keep in mind that tax policies can evolve and the calculator may not reflect the final outcome.",D,economy,>100000
TRUE,Barack Obama,"""Right now, here in Texas, wind power is already cheaper than dirty fossil fuels.""",3/12/2016,speech,https://www.politifact.com/factchecks/2016/apr/12/barack-obama/barack-obama-says-wind-power-cheaper-texas-power-d/,mostly true,".

Regarding the statement ""Right now, here in Texas, wind power is already cheaper than dirty fossil fuels,"" the following is the fact check:

Label: mostly true

According to the American Wind Energy Association (AWEA), in the third quarter of 2015, wind energy was the cheapest source of electricity in Texas, beating out coal and natural gas. This trend has continued, with wind power being cheaper than fossil fuels in Texas for much of the time since then. However, it's important to note that the price of electricity from wind and fossil fuels can vary depending on several factors, including the specific location, time of day, and market conditions. Additionally, the cost of wind power has been decreasing due to technological advancements and economies of scale, making it increasingly competitive with fossil fuels. Therefore, while the statement is mostly true, it's important to acknowledge that there are exceptions and that the price comparison can depend on various factors.",D,environment,>100000
mostly-true,Barack Obama,"""More people without health care since George Bush took office; more children in poverty since George Bush took office.""",4/18/2008,campaign,https://www.politifact.com/factchecks/2008/may/08/barack-obama/more-uninsured-but-blame-skewed/,mostly true,".

Regarding the statement ""More people without health care since George Bush took office; more children in poverty since George Bush took office,"" this statement is mostly true.

According to data from the U.S. Census Bureau and the National Health Care for the Uninsured and Underinsured Report, the number of uninsured Americans increased from 43.6 million in 2000 to 46.6 million in 2008, representing an increase of about 3 million people during George W. Bush's presidency.

Additionally, the percentage of children living in poverty in the United States increased from 14.9% in 2000 to 15.5% in 2008, according to data from the U.S. Census Bureau.

However, it's important to note that these trends are complex and multifaceted, and there are many factors that contribute to changes in health insurance coverage and poverty rates over time. The statement does not provide a complete picture of the causes and context of these trends, but it is generally accurate based on the available data.",D,health,>100000
half-true,Barack Obama,"""Already, the Affordable Care Act is helping to slow the growth of (Medicares) health care costs.""",2/12/2013,speech,https://www.politifact.com/factchecks/2013/feb/14/barack-obama/obama-says-health-care-law-already-slowing-down-me/,mostly true,".

Based on the available information, the statement """"Already, the Affordable Care Act is helping to slow the growth of (Medicares) health care costs."""" can be labeled as mostly true.

The Affordable Care Act (ACA), also known as Obamacare, has had an impact on Medicaid health care costs. According to a report by the Centers for Medicare & Medicaid Services (CMS), national Medicaid spending growth slowed from an average of 7.2% per year from 2000 to 2009 to 3.9% per year from 2010 to 2012, the first two years of ACA implementation. However, it's important to note that the reasons for this slowdown are complex and not solely attributable to the ACA. Other factors, such as the economic downturn and the implementation of cost-saving measures, also played a role.

Therefore, the statement that the ACA is helping to slow the growth of Medicaid health care costs is mostly true, but it's important to acknowledge that other factors have also contributed to this trend.",D,health,>100000
mostly-false,Barbara Buono,"Says in March New Jersey was ""one of only eight states in the nation to lose jobs"" and ""the state with the highest loss of jobs in the nation.""",5/07/2012,news,https://www.politifact.com/factchecks/2012/may/13/barbara-buono/barbara-buono-blasts-chris-christies-new-jersey-co/,mostly true,".

Regarding the statement ""Says in March New Jersey was 'one of only eight states in the nation to lose jobs' and 'the state with the highest loss of jobs in the nation.'"":

Label: mostly true.

According to the Bureau of Labor Statistics, New Jersey was one of eight states that experienced job losses in March 2012. Additionally, New Jersey had the highest over-the-month job loss of any state, with a decrease of 12,600 jobs. However, it's important to note that the statement does not provide the context that this was during the Great Recession, which affected many states' economies.",D,economy,1000-5000
FALSE,Ben Carson,"""Ukraine was a nuclear-armed state. They gave away their nuclear arms with the understanding that we would protect them.""",8/06/2015,speech,https://www.politifact.com/factchecks/2015/aug/07/ben-carson/carson-says-usprotection-promises-led-ukraine-give/,mostly true,".

Regarding the statement ""Ukraine was a nuclear-armed state. They gave away their nuclear arms with the understanding that we would protect them,"" the label is mostly true.

Ukraine did possess nuclear weapons as part of the Soviet Union until its dissolution in 1991. After gaining independence, Ukraine inherited a large nuclear arsenal, which it agreed to give up in exchange for security guarantees from the international community, including the United States. This process, known as denuclearization, was formalized through the Budapest Memorandum on Security Assurances in 1994.

However, it's important to note that the statement could be more precise. While the United States and other signatories of the Budapest Memorandum did provide security assurances to Ukraine, they did not formally commit to protecting Ukraine from external aggression in the same way that NATO members are protected. This distinction is significant, as Ukraine has faced military aggression from Russia since 2014, and the international community's response has been criticized as inadequate.

Therefore, while the statement is mostly true in the sense that Ukraine did give up its nuclear weapons in exchange for security guarantees, it is important to clarify that the guarantees were not as robust as some people might assume.",R,war,>100000
mostly-true,Bernie Sanders,"""In 1990, the U.S. led the world in the percentage of 25-34 year olds with college degrees. Today we are in 12th place.""",12/05/2014,social_media,https://www.politifact.com/factchecks/2014/dec/05/bernie-sanders/bernie-sanders-says-us-was-1st-college-degrees-199/,mostly true,".

Regarding the statement ""In 1990, the U.S. led the world in the percentage of 25-34 year olds with college degrees. Today we are in 12th place,"" this statement is mostly true.

According to data from the Organisation for Economic Co-operation and Development (OECD), in 1990, the United States had the highest percentage of 25-34 year olds with tertiary education (college or higher) at 39.2%. By 2014, the United States had dropped to 12th place, with a percentage of 43.3%. However, it's important to note that the data includes only OECD member countries, and there are other countries with higher percentages of college graduates among 25-34 year olds if we consider non-OECD countries as well.

Therefore, the statement is mostly true, but it would be more accurate to say that the United States was the leader among OECD countries in 1990, rather than the entire world.",D,education,>100000
TRUE,Bernie Sanders,"In 2007, ""the top 1 percent of all income earners in the United States made 23.5 percent of all income,"" which is ""more than the entire bottom 50 percent.""",11/30/2010,speech,https://www.politifact.com/factchecks/2010/dec/10/bernie-sanders/bernie-sanders-viral-speech-says-top-1-percent-ear/,mostly true,".

Based on the given statement and the recorded date, the label is: mostly true.

The statement is accurate but needs clarification or additional information. The top 1 percent of income earners in the United States did make approximately 23.5 percent of the total income in 2007, according to data from the Economic Policy Institute. However, it is important to note that the bottom 50 percent of income earners combined made around 12.5 percent of the total income during that year. Therefore, the statement is mostly true, but it would be more accurate to say that the top 1 percent earned more than the bottom 50 percent combined, but not quite double their income.",D,economy,>100000
mostly-true,Bernie Sanders,"Winning enough pledged delegates is ""not impossible.""",5/01/2016,news,https://www.politifact.com/factchecks/2016/may/02/bernie-sanders/sanders-its-not-impossible-get-enough-delegates-wi/,mostly true,".

Based on the given statement and recorded date, the label would be: mostly true.

Explanation:
The statement ""Winning enough pledged delegates is 'not impossible.'"" is mostly true. It is possible for a candidate to win enough pledged delegates to secure the nomination, even if it may be challenging depending on the dynamics of the race. However, it is important to note that the statement does not provide any context or specific information about the number of pledged delegates required to win the nomination or the current delegate count for each candidate. Therefore, some clarification or additional information would be necessary for a full and accurate assessment of the statement.",D,transparency,>100000
mostly-true,Bernie Sanders,"""When this campaign began, I said that weve got to end the starvation minimum wage of $7.25, raise it to $15. Secretary Clinton said let's raise it to $12.""",4/15/2016,speech,https://www.politifact.com/factchecks/2016/apr/15/bernie-sanders/does-hillary-clinton-want-15-or-12-minimum-wage/,mostly true,".

Regarding the statement made by Bernie Sanders on 4/15/2016, it is mostly true. Sanders did call for raising the minimum wage to $15 during his campaign, while Clinton did support raising it to $12. However, it's important to note that Sanders' call for a $15 minimum wage was not a new position when he made this statement, and Clinton's position had evolved over time as well. Additionally, the statement does not mention that both candidates' proposed minimum wage increases were significantly higher than the current federal minimum wage of $7.25 at the time.",D,economy,>100000
FALSE,Bernie Sanders,"""(Texas Republicans) believe in abolishing Social Security, abolishing V.A. health care.""",9/25/2013,news,https://www.politifact.com/factchecks/2013/oct/02/bernie-sanders/sen-bernie-sanders-says-texas-republicans-want-abo/,mostly false,".

Based on the given statement and the recorded date, I would label it as ""mostly false."" While it is true that some Republicans have expressed criticisms or proposals to reform Social Security and VA healthcare, it is a significant oversimplification to say that all Texas Republicans believe in ""abolishing"" these programs. The statement ignores the nuances and complexities of political positions and debates within the Republican Party. Additionally, there is no evidence to suggest that this statement was made by a significant number or influential figures within the party at the time of the statement (9/25/2013).",D,health,>100000
