verdict,politician_name,statement,statement_date,statement_source,factcheck_analysis_link
pants-fire,Michele Bachmann,"The IRS is going to be ""in charge"" of ""a huge national database"" on health care that will include Americans’ ""personal, intimate, most close-to-the-vest-secrets.""",5/15/2013,news,https://www.politifact.com/factchecks/2013/may/20/michele-bachmann/michele-bachmann-decries-huge-national-database-ru/
false,Donald Trump,"With voting by mail, ""you get thousands and thousands of people sitting in somebody's living room, signing ballots all over the place.""",4/7/2020,news,https://www.politifact.com/factchecks/2020/apr/09/donald-trump/donald-trumps-dubious-claim-thousands-are-conspiri/
mostly-false,Terry McAuliffe,"During his governorship, Virginia made ""the largest investment ever in K-12 education.""",1/24/2019,speech,https://www.politifact.com/factchecks/2019/mar/26/terry-mcauliffe/mcauliffe-claim-record-k-12-spending-misleading/
mostly-true,Chris Christie,"""In the entire public school system in Camden last year, only three students graduated college ready.""",1/14/2014,speech,https://www.politifact.com/factchecks/2014/jan/26/chris-christie/chris-christie-claims-only-three-college-ready-stu/
false,Donald Trump,"Says he is ""cutting illegal immigration in half.""",10/30/2019,campaign,https://www.politifact.com/factchecks/2019/oct/31/donald-trump/donald-trumps-world-series-ad-said-he-cut-illegal-/
true,Pete Buttigieg,"""There is racism physically built into some of our highways.""",4/6/2021,news,https://www.politifact.com/factchecks/2021/apr/15/pete-buttigieg/pete-buttigieg-right-racism-shaped-some-urban-high/
mostly-true,Jay Wiley,"Austin has ""over 1,000 city employees that make six-figure salaries.""",9/15/2014,meeting,https://www.politifact.com/factchecks/2014/sep/25/jay-wiley/austin-city-council-hopeful-slightly-saying-more-1/
mostly-true,Patrick Murphy,"Says Marco Rubio ""has a 98 percent voting record with the Koch brothers.""",10/27/2016,speech,https://www.politifact.com/factchecks/2016/oct/27/patrick-murphy/patrick-murphy-marco-rubio-voted-98-percent-time-k/
false,Terri Bryant,"""75% of Republicans have been vaccinated"" against COVID-19 in Illinois.",9/21/2021,radio,https://www.politifact.com/factchecks/2021/oct/03/terri-bryant/no-proof-lawmakers-claim-75-illinois-republicans-a/
mostly-true,John Kitzhaber,"""Creating 25 jobs in Umatilla County has the same impact as 500 jobs in the metro region.""",4/19/2011,news,https://www.politifact.com/factchecks/2011/jun/17/john-kitzhaber/governor-compares-creating-25-jobs-rural-umatilla-/
mostly-true,Kendrick Meek,"""When I become the nominee, the Democratic nominee, I will be the only pro-choice candidate on the ballot.""",6/22/2010,speech,https://www.politifact.com/factchecks/2010/jun/22/kendrick-meek/meeks-pro-choice-stance-stands-out/
true,Rudy Giuliani,"Financial conflict-of-interest ""laws don't apply to the president, right? So, the president doesn't have to have a blind trust.""",11/13/2016,television,https://www.politifact.com/factchecks/2016/nov/16/rudy-giuliani/giuliani-president-trump-will-be-exempt-conflict-i/
false,Bruce Rauner,"Says ""J.B. Pritzker’s tax plan"" includes a ""new tax per mile you drive with government tracking device.""",9/6/2018,advertisement,https://www.politifact.com/factchecks/2018/sep/23/bruce-rauner/rauner-veers-course-claiming-pritzker-proposed-mil/
mostly-true,Chris Christie,"""Given how expansive our program already was,"" expanding Medicaid in New Jersey due to Obamacare ""was a relatively small expansion.""",11/10/2013,news,https://www.politifact.com/factchecks/2013/nov/14/chris-christie/new-jersey-medicaid-expansion-was-small-given-alre/
half-true,Donald Trump,"Says that in polls about 2016 candidate leadership skills, he comes out ""two and three and four times higher than anybody else.""",11/8/2015,speech,https://www.politifact.com/factchecks/2015/nov/08/donald-trump/trump-my-numbers-leadership-its-two-or-three-or-fo/
half-true,Barack Obama,"""I wrote to Secretary Paulson, I wrote to Federal Reserve Chairman Bernanke [in March 2007], and told them this is something we have to deal with, and nobody did anything about it.""",10/7/2008,speech,https://www.politifact.com/factchecks/2008/oct/13/barack-obama/2007-was-too-late-to-head-off-the-crisis/
pants-fire,Rick Santorum,"Rick Santorum says Rick Perry requested 1,200 earmarks as governor of Texas.",1/11/2012,news,https://www.politifact.com/factchecks/2012/jan/20/rick-santorum/rick-santorum-says-rick-perry-requested-1200-congr/
mostly-false,Barack Obama,"""During my administration, for example, we boosted U.S. exports to Canada and Mexico by about 50 percent. That supports about 2.8 million American jobs.""",6/29/2016,news,https://www.politifact.com/factchecks/2016/jul/05/barack-obama/obama-incorrectly-characterizes-job-growth-due-inc/
mostly-false,Mitt Romney,"""I saw my father march with Martin Luther King.""",12/6/2007,other,https://www.politifact.com/factchecks/2007/dec/28/mitt-romney/george-romney-and-mlk-marched-but-not-together/
half-true,Cory Booker,"Says 2012 was the ""first year in American history that more minorities are being born than people in the majority.""",2/1/2013,other,https://www.politifact.com/factchecks/2013/feb/17/cory-booker/cory-booker-says-more-minorities-born-2012-racial-/
mostly-true,Barry DuVal,"""We're the only major oil-producing nation in the world with a self-imposed ban on exporting our crude oil to other nations.""",9/25/2015,news,https://www.politifact.com/factchecks/2015/sep/17/barry-duval/barry-duval-says-us-only-major-oil-producer-bans-c/
mostly-true,Gwen Graham,"""So far this year, more students have been killed in schools than soldiers in combat zones.""",5/18/2018,social_media,https://www.politifact.com/factchecks/2018/may/21/gwen-graham/have-more-students-been-killed-schools-soldiers-co/
true,Ron Amstutz,"The budget currently being debated ""significantly decreases the use of one-time resources.""",5/28/2011,news,https://www.politifact.com/factchecks/2011/jun/14/ron-amstutz/state-rep-ron-amstutz-says-budget-now-being-debate/
false,Susan Latvala,"""One of the other inaccuracies ... is that we have raised taxes multiple times and run up the budget. Absolutely not true. One tax increase since I’ve been in office. It was a quarter mill tax in the unincorporated area only.""",9/14/2010,meeting,https://www.politifact.com/factchecks/2010/sep/25/susan-latvala/pinellas-county-commissioner-susan-latvala-says-sh/
mostly-false,Scott Walker,"""Overwhelming Democrat and Republican votes"" in 2011 for legislation in two special sessions on jobs demonstrated the bipartisan nature of the Wisconsin Legislature.",6/6/2012,radio,https://www.politifact.com/factchecks/2012/jun/13/scott-walker/gov-scott-walker-says-he-got-overwhelming-bipartis/
pants-fire,Todd Staples,"""To deprive"" underprivileged children ""of a meat-based protein during school lunch is most likely depriving them of their only source of protein for the day.""",9/8/2014,news,https://www.politifact.com/factchecks/2014/sep/21/todd-staples/todd-staples-airs-smoky-claim-about-children-not-g/
mostly-false,Nathan Deal,"""Handel endorsed gay adoption"" in 2003 when she was running for chairwoman of the Fulton County Commission.",5/12/2010,statement,https://www.politifact.com/factchecks/2010/jun/07/nathan-deal/deal-claims-handel-supported-gay-adoption/
mostly-false,Tammy Baldwin,"""I led the fight to require the Coast Guard to buy their engines from us, not foreign companies.""",7/30/2012,advertisement,https://www.politifact.com/factchecks/2012/aug/22/tammy-baldwin/wisconsin-rep-tammy-baldwin-dem-us-senate-candidat/
mostly-false,Marty Beil,"Says Gov. Scott Walker ""raises the pay of inmates, but we don't raise the pay of staff in our correctional institutions.""",7/19/2012,news,https://www.politifact.com/factchecks/2012/aug/19/marty-beil/wisconsin-gov-scott-walker-gave-raises-working-pri/
half-true,Rob Cornilles,Suzanne Bonamici votes with her party a partisan 98 percent of the time.,11/27/2011,speech,https://www.politifact.com/factchecks/2011/dec/10/rob-cornilles/does-suzanne-bonamici-vote-partisan-98-percent-tim/
half-true,Jeff Tittel,"""DEP has 2,812 employees, the lowest level since the mid-’80s.""",3/2/2013,news,https://www.politifact.com/factchecks/2013/mar/17/jeff-tittel/sierra-clubs-jeff-tittel-claims-dep-staffing-level/
false,Michele Bachmann,"The IRS is ""going to be in charge of our health care.""",5/15/2013,news,https://www.politifact.com/factchecks/2013/may/20/michele-bachmann/michele-bachmann-says-irs-going-be-charge-our-heal/
true,Joe Manchin,"""This year West Virginia produced more AmeriCorps members than any other state.""",8/8/2018,social_media,https://www.politifact.com/factchecks/2018/aug/31/joe-manchin/does-west-virginia-produce-most-americorps-members/
true,Jeff Kottkamp,"""I've taken on the federal government and won.""",7/31/2010,speech,https://www.politifact.com/factchecks/2010/aug/11/jeff-kottkamp/kottkamp-took-federal-government-court-and-won-he-/
true,Tom Niehaus,"""Unlike the gridlock in Washington, more than 80 percent of the bills we passed during this General Assembly had bipartisan support.""",1/3/2013,social_media,https://www.politifact.com/factchecks/2013/jan/17/tom-niehaus/tom-niehaus-says-80-percent-bills-passed-last-ohio/
pants-fire,Donald Trump,"""The ice caps were going to melt, they were going to be gone by now, but now they’re setting records, so okay, they’re at a record level.""",1/26/2018,news,https://www.politifact.com/factchecks/2018/jan/29/donald-trump/trump-gets-polar-ice-trend-backwards/
mostly-false,Charlie Kirk,"""Barack Obama asked Ukraine to investigate his political rival's campaign manager, 3 Democrat senators asked Ukraine to investigate Trump, and the DNC solicited Ukraine's help to dig up dirt on Trump.""",9/29/2019,social_media,https://www.politifact.com/factchecks/2019/oct/03/charlie-kirk/fact-checking-charlie-kirks-misleading-tweet-about/
mostly-true,Robin Vos,"Says 1,000 people failed gun background checks in Wisconsin in 2018, but ""almost none of them were prosecuted for trying to do a background check and illegally buy a weapon.""",11/10/2019,news,https://www.politifact.com/factchecks/2019/nov/26/robin-vos/wisconsin-failed-gun-background-checks-rarely-lead/
mostly-true,Mike Crute,"Says Bernie Sanders ""is the most popular politician in America today.""",4/19/2017,radio,https://www.politifact.com/factchecks/2017/apr/27/mike-crute/despite-losing-nomination-hillary-clinton-bernie-s/
half-true,Lee Fisher,"""On (Rob Portman's) watch as Bush's trade czar, our deficit with China exploded"" and ""as Bush's budget chief, Portman oversaw a spending spree that doubled the deficit.""",9/7/2010,campaign,https://www.politifact.com/factchecks/2010/sep/09/lee-fisher/lee-fisher-hammers-rob-portman-record-bush-adminis/
mostly-true,Hillary Clinton,"Says Dontre Hamilton, who was killed during a confrontation with a Milwaukee police officer, was ""unarmed.""",2/11/2016,speech,https://www.politifact.com/factchecks/2016/feb/18/hillary-clinton/black-man-was-unarmed-when-shot-dead-white-milwauk/
mostly-false,Hillary Clinton,"""How do Jeb Bush and Donald Trump differ on immigration? Spoiler alert: They don't.""",8/25/2015,social_media,https://www.politifact.com/factchecks/2015/aug/28/hillary-clinton/hillary-clinton-says-jeb-bush-and-donald-trump-sha/
half-true,Chris Christie,"""The income tax that started at 2 percent under Governor Byrne is now 9 percent.""",9/25/2012,campaign,https://www.politifact.com/factchecks/2012/oct/03/chris-christie/chris-christie-says-state-income-tax-jumped-2-perc/
half-true,Mitt Romney,"""Obamacare takes $500 billion out of Medicare and funds Obamacare.""",6/13/2011,speech,https://www.politifact.com/factchecks/2011/jun/16/mitt-romney/500-billion-medicare-obamacare-romney-says/
mostly-true,Bernie Sanders,"""Over half of the black workers in this country earn less"" than $15 an hour.",11/6/2015,meeting,https://www.politifact.com/factchecks/2015/nov/12/bernie-sanders/bernie-sanders-says-over-half-black-workers-earn-l/
false,Chris Christie,"Says the national health care law puts federal ""bureaucrats between an American citizen and her doctor.""",8/28/2012,speech,https://www.politifact.com/factchecks/2012/aug/30/chris-christie/chris-christie-says-national-health-care-law-puts-/
false,Barack Obama,"When Obama was interviewed by American reporters in Asia, ""Not one of them asked me about Asia. Not one of them asked me about the economy.""",12/3/2009,speech,https://www.politifact.com/factchecks/2009/dec/07/barack-obama/obama-said-reporters-didnt-ask-questions-issues-th/
half-true,Tom Marino,"Twenty million Americans are ""out of work.""",5/5/2016,news,https://www.politifact.com/factchecks/2016/may/09/tom-marino/pa-congressman-tom-marino-says-20-million-american/
mostly-true,Beto O'Rourke,"Texas is ""50th in the nation in mental health care access.""",5/25/2022,speech,https://www.politifact.com/factchecks/2022/may/25/beto-orourke/recent-report-put-texas-last-among-states-and-dc-m/
true,Jay Nixon,"Says that ""unlike Texas, Missouri has a perfect AAA credit rating.""",8/27/2013,radio,https://www.politifact.com/factchecks/2013/aug/30/jay-nixon/give-missouri-governor-comparison-credit-ratings-m/
mostly-true,Tim Finchem,"""Austin’s the fastest-growing city in the country the last five years.""",3/27/2016,news,https://www.politifact.com/factchecks/2016/mar/29/tim-finchem/pga-tour-commissioner-says-austin-fastest-growing-/
half-true,George Will,"Democrats in the 1930s wanted President Franklin Roosevelt ""to be more conservative.""",7/18/2010,television,https://www.politifact.com/factchecks/2010/jul/22/george-will/george-will-says-democrats-1930s-wanted-fdr-be-mor/
half-true,Veronica Escobar,"""The president has exploded the debt by more than $3 trillion — all to give billion-dollar tax cuts to the wealthiest few.""",2/4/2020,speech,https://www.politifact.com/factchecks/2020/feb/05/veronica-escobar/state-union-rebuttal-texas-rep-overstates-debt-cla/
mostly-false,Fred Clark,"Says Sen. Luther Olsen, his recall opponent, supported the sale of state-owned power plants ""not to the highest bidder, but to the biggest donors"" with no oversight.",7/25/2011,advertisement,https://www.politifact.com/factchecks/2011/aug/04/fred-clark/candidate-fred-clark-says-state-sen-luther-olsen-s/
mostly-true,Donald Trump,"""Ford is moving all of their small-car production to Mexico.""",10/20/2016,speech,https://www.politifact.com/factchecks/2016/oct/23/donald-trump/donald-trump-says-ford-moving-all-small-car-produc/
pants-fire,Duncan Hunter,"""At least 10 ISIS fighters have been caught coming across the Mexican border in Texas"" and there are ""dozens more that did not get caught by the Border Patrol.""",10/7/2014,news,https://www.politifact.com/factchecks/2014/oct/10/duncan-hunter-2/duncan-hunter-makes-unconfirmed-claim-border-patro/
mostly-true,David Miliband,"""The geography of poverty has changed fundamentally in the last 15 years,"" with more of it concentrated in fragile and conflict states.",5/17/2016,meeting,https://www.politifact.com/factchecks/2016/may/23/david-miliband/refugee-aid-head-worlds-poorest-increasingly-found/
pants-fire,Rush Limbaugh,"Says Joe Biden’s Democratic National Convention speech ""had to be taped in segments, and the segments had to be edited together.""",8/21/2020,radio,https://www.politifact.com/factchecks/2020/aug/24/rush-limbaugh/joe-biden-gave-his-convention-speech-live-rush-lim/
half-true,Paul Broun,"""In the last two years, I have supported and proposed $155 billion worth of targeting cuts. Dr. Gingrey has presented zero.""",3/28/2013,meeting,https://www.politifact.com/factchecks/2013/apr/09/paul-broun/broun-takes-rivals-record-proposed-cuts/
mostly-true,Jeb Bush,"Says that during his eight years as Florida governor, ""we created 1.3 million net new jobs -- more jobs created than Texas.""",6/2/2015,speech,https://www.politifact.com/factchecks/2015/jun/03/jeb-bush/jeb-bush-says-13-million-jobs-were-created-florida/
mostly-false,Rahm Emanuel,Says Mitt Romney asked for a waiver from federal welfare rules.,9/2/2012,news,https://www.politifact.com/factchecks/2012/sep/06/rahm-emanuel/rahm-emanuel-says-romney-asked-welfare-work-waiver/
half-true,Rob Portman,"Says the health care reform bill was paid for, in part, by taking money from students and the student loan system.",4/28/2012,news,https://www.politifact.com/factchecks/2012/may/14/rob-portman/rob-portman-says-student-loan-money-was-used-cover/
mostly-false,Denny Hoskins,"""Missouri still owes $60 million on bonds issued to build the 23-year-old Edward Jones Dome, the former home of the St. Louis Rams.""",1/31/2019,news,https://www.politifact.com/factchecks/2019/apr/16/denny-hoskins/how-much-debt-does-missouri-still-owe-formerly-nam/
half-true,Rebecca Kleefisch,"""Right now, our corrections department charges taxpayers between $30,000 and $40,000 a year per person we lock up,"" she said. ""That’s actually cheap when you compare us to the rest of the country.""",4/20/2016,radio,https://www.politifact.com/factchecks/2016/jul/08/rebecca-kleefisch/Kleefisch-per-inmate-cost-comparison/
mostly-false,Scott Walker,"Says he will pursue change in federal law to protect employees from ""extortion from a union"" because ""the Supreme Court has ruled that federal prohibitions outlawing extortion usually do not apply to unions.""",9/14/2015,campaign,https://www.politifact.com/factchecks/2015/sep/17/scott-walker/scott-walker-says-high-court-has-said-federal-laws/
mostly-true,Michele Bachmann,"In 1993, Newt Gingrich ""first advocated for the individual mandate in health care. And as recently as May of this year, he was still advocating"" for it.",12/10/2011,speech,https://www.politifact.com/factchecks/2011/dec/11/michele-bachmann/michele-bachmann-says-newt-gingrich-backed-individ/
half-true,Michael Bloomberg,"""I certainly supported Barack Obama and Joe Biden. ... I was there both times for them.""",2/26/2020,television,https://www.politifact.com/factchecks/2020/mar/03/michael-bloomberg/mike-bloomberg-exaggerates-his-support-obama-2008-/
pants-fire,Ann Coulter,"""No doctors who went to an American medical school will be accepting Obamacare.""",10/9/2013,news,https://www.politifact.com/factchecks/2013/oct/16/ann-coulter/ann-coulter-says-no-doctors-who-went-american-medi/
pants-fire,Gilberto Hinojosa,"Says if Texas abortion measure passes, ""someone living in El Paso would have to drive 550 miles each way to San Antonio for something as simple as cervical cancer screening.""",7/3/2013,email,https://www.politifact.com/factchecks/2013/jul/12/gilberto-hinojosa/gilberto-hinojosa-texas-abortion-cancer/
true,David Dewhurst,Says Barack Obama has played over 90 rounds of golf as president.,4/4/2012,advertisement,https://www.politifact.com/factchecks/2012/apr/04/david-dewhurst/david-dewhurst-says-barack-obama-has-played-over-9/
true,Tammy Baldwin,"29 states still don’t have ""comprehensive protections"" for people in the LGBTQ community.",3/12/2019,other,https://www.politifact.com/factchecks/2019/mar/28/tammy-baldwin/baldwin-hits-target-claim-about-states-and-compreh/
false,Donald Trump,"""We've done more tests in eight days than South Korea has done in eight weeks.""",3/24/2020,news,https://www.politifact.com/factchecks/2020/mar/25/donald-trump/trumps-boast-about-us-south-korea-coronavirus-test/
mostly-true,Tim Kaine,"George Allen ""voted to end Pell Grants for 84,000 students.""",9/12/2012,news,https://www.politifact.com/factchecks/2012/oct/01/tim-kaine/tim-kaine-says-george-allen-voted-end-pell-grants-/
mostly-false,Charles Bass,"""The expiration of the Bush-era tax cuts ... would be the biggest tax increase in the history of the country, about $4.6 trillion over 10 years.""",4/3/2012,news,https://www.politifact.com/factchecks/2012/may/11/charles-bass/expiration-bush-tax-cuts-largest-increase/
mostly-false,Rick Scott,"""Estimates say individuals who escaped these high tax states have taken with them around $2 trillion in adjusted gross income.""",1/6/2015,speech,https://www.politifact.com/factchecks/2015/jan/08/rick-scott/people-moved-2-trillion-worth-income-escape-high-t/
half-true,Rick Santorum,"Says Mitt Romney said ""we are going to have to live with high gas prices, it's a good thing because it will reduce consumption, we don't want to produce any more gasoline.""",3/25/2012,campaign,https://www.politifact.com/factchecks/2012/mar/28/rick-santorum/santorum-accuses-romney-favoring-high-gas-prices-m/
mostly-false,Barack Obama,"Says Jonathan Gruber was ""some adviser who never worked on our staff.""",11/16/2014,other,https://www.politifact.com/factchecks/2014/nov/19/barack-obama/barack-obama-says-mit-professor-jonathan-gruber-wa/
true,Barack Obama,"When Mitt Romney was governor of Massachusetts, he ""stood in front of a coal plant and pointed at it and said, ‘This plant kills.’""",10/16/2012,speech,https://www.politifact.com/factchecks/2012/oct/17/barack-obama/obama-says-romney-once-said-coal-burning-plant-kil/
true,Barack Obama,"John McCain wants to ""give oil companies another $4-billion"" in tax breaks.",9/26/2008,other,https://www.politifact.com/factchecks/2008/sep/26/barack-obama/better-context-for-a-once-questionable-tax-claim/
mostly-false,Tim Moore,"Says the photo ID law passed by North Carolina lawmakers is ""one of the nation’s most lenient voter ID laws.""",12/27/2019,news,https://www.politifact.com/factchecks/2020/feb/17/tim-moore/does-north-carolina-have-one-most-lenient-voter-id/
false,Jeanne Ives,"Says ex-Lt. Gov. Evelyn Sanguinetti ""publicly did not stand in opposition to"" former Gov. Bruce Rauner’s decision to sign a bill that expanded the public funding of abortions in Illinois.",7/26/2019,news,https://www.politifact.com/factchecks/2019/aug/01/jeanne-ives/ives-falsely-claims-primary-foe-did-not-publicly-o/
mostly-false,Nathan Deal,"""We have been confronted with an unexpected storm that has hit the metropolitan area.""",1/28/2014,news,https://www.politifact.com/factchecks/2014/jan/30/nathan-deal/deal-defends-comments-bad-weather-was-unexpected/
true,Barack Obama,"""More than half of all black children live in single-parent households, a number that has doubled — doubled — since we were children.""",6/15/2008,speech,https://www.politifact.com/factchecks/2008/jun/23/barack-obama/statistics-dont-lie-in-this-case/
mostly-false,Tom Graves,"""I've traveled the country advocating for the FairTax ...""",6/13/2009,speech,https://www.politifact.com/factchecks/2010/jun/05/tom-graves/linder-says-graves-played-minor-role-fairtax/
half-true,Hillary Clinton,"Says she will ""work to raise the federal minimum wage back to the highest level it’s ever been — $12 an hour in today’s dollars.""",2/12/2016,news,https://www.politifact.com/factchecks/2016/feb/17/hillary-clinton/hillary-clinton-says-she-wants-return-real-minimum/
half-true,Reince Priebus,"Says Barack Obama has ""the worst record of any president when it comes to putting America deeper in debt.""",12/2/2014,speech,https://www.politifact.com/factchecks/2014/dec/04/reince-priebus/rnc-chair-reince-priebus-says-barack-obama-has-wor/
mostly-false,Steve Lonegan,"""The price tag amounted to nearly $4,200 for every man, woman and child in the state.""",12/18/2012,news,https://www.politifact.com/factchecks/2012/dec/23/steve-lonegan/steve-lonegan-says-hurricane-sandy-aid-package-amo/
mostly-false,Donald Trump,"""NAFTA, signed by Bill Clinton, has been a disaster for Pennsylvania.""",8/13/2016,news,https://www.politifact.com/factchecks/2016/aug/18/donald-trump/real-impact-nafta-pennsylvania-vs-donald-trumps-cl/
half-true,Doug LaMalfa,"Voting-rights legislation proposed by Democrats in Congress called H.R. 1 ""would force states to restore the voting rights of convicted felons—including violent felons convicted of murder or rape.""",3/2/2021,email,https://www.politifact.com/factchecks/2021/mar/04/doug-lamalfa/would-congress-new-voting-rights-act-allow-violent/
false,Dave Hansen,"The Republican-authored state budget includes a provision ""forcing people earning as little as $12,000 to buy private health insurance that could cost them as much as $4,000 per year.""",7/19/2013,news,https://www.politifact.com/factchecks/2013/jul/26/dave-hansen/wisconsin-sen-dave-hansen-says-state-budget-forces/
false,Lindsey Graham,"Says House Democrats leading the impeachment inquiry are ""denying President Trump basic fairness and due process accorded every American.""",10/24/2019,other,https://www.politifact.com/factchecks/2019/oct/28/lindsey-graham/graham-wrong-house-impeachment-inquiry-denies-trum/
false,Kevin McCarthy,"Raising the national minimum wage to $15 per hour ""would destroy up to 3.7 million jobs.""",2/9/2021,news,https://www.politifact.com/factchecks/2021/feb/11/kevin-mccarthy/gop-house-leader-kevin-mccarthy-distorts-job-loss-/
mostly-false,Scott Walker,"The projected $1.8 billion state budget shortfall for 2015-’17 ""actually comes from an assumption based on zero growth. That just doesn’t happen.""",10/17/2014,speech,https://www.politifact.com/factchecks/2014/oct/23/scott-walker/scott-walker-says-budget-shortfall-prediction-base/
half-true,Tom Steyer,"""People haven't had a raise -- 90 percent of Americans have not had a raise for 40 years.""",10/15/2019,speech,https://www.politifact.com/factchecks/2019/oct/16/tom-steyer/tom-steyers-half-true-claim-90-americans-have-not-/
pants-fire,Joe Brown,"""Nobody is leaving Memphis. That's a myth.""",4/18/2012,other,https://www.politifact.com/factchecks/2012/may/01/joe-brown/nobody-leaving-memphis-says-city-councilman-joe-br/
false,Joseph Kyrillos,"Says ""when I voted against [an increase in the minimum wage], it was in the 80s.""",10/10/2012,speech,https://www.politifact.com/factchecks/2012/oct/15/joseph-kyrillos/joe-kyrillos-said-when-he-voted-against-minimum-wa/
mostly-true,Lupe Valdez,"""I come from the poorest ZIP code in San Antonio.""",4/11/2018,news,https://www.politifact.com/factchecks/2018/may/03/lupe-valdez/lupe-valdez-I-come-poorest-zip-code-san-antonio-te/
pants-fire,Ann Coulter,"""100% of heroin/fentanyl epidemic is because we don't have a WALL.""",1/30/2018,social_media,https://www.politifact.com/factchecks/2018/feb/02/ann-coulter/would-wall-have-prevented-opioid-epidemic/
half-true,Donald Trump,"""Apple has just announced it plans to invest a total of $350 billion in America, and hire another 20,000 workers.""",1/30/2018,speech,https://www.politifact.com/factchecks/2018/jan/31/donald-trump/donald-trump-inflates-apple-investment/
mostly-true,Barack Obama,"""America is No. 1 in wind power.""",1/20/2015,speech,https://www.politifact.com/factchecks/2015/jan/21/barack-obama/america-no-1-wind-power-obama-says/
half-true,Veronica Escobar,"""We began seeing the increase in unaccompanied minors going back to last April 2020. This is not something that happened as a result of Joe Biden becoming president.""",3/14/2021,news,https://www.politifact.com/factchecks/2021/mar/29/veronica-escobar/surge-minors-border-due-numerous-factors-biden-pol/
mostly-false,Bruce Rauner,"""The candidates controlled by Madigan, all of them have said, ‘The answer to our problems is a massive income tax hike.’ """,12/4/2017,news,https://www.politifact.com/factchecks/2017/dec/14/bruce-rauner/rauner-distorts-dems-message-illinois-income-tax/
half-true,Tammy Baldwin,"Says Donald Trump ""has a long history of exporting jobs overseas.""",8/5/2016,speech,https://www.politifact.com/factchecks/2016/aug/17/tammy-baldwin/does-donald-trump-have-long-record-exporting-jobs/
